fitofisionomia;parcela;bandeja;coleta;especie;peso;
FAAC;faperj 50;2;dez/22;Smilax rufescens;0.01;
FAAC;faperj 50;2;dez/22;Ternostroemia brasiliensis;1.72;
FAAC;faperj 50;3;dez/22;Eugenia umbelifolia;0.15;
FAAC;faperj 50;3;dez/22;Miscelânia;0.63;
FAAC;faperj 50;3;dez/22;Ocotea notata;0.53;
FAAC;faperj 50;3;dez/22;Clusia Hilariana;3.34;
FAAC;faperj 50;3;dez/22;Ternostroemia brasiliensis;0.4;
FAAC;faperj 50;3;dez/22;Achmea brasiliensis;0.1;
MPI;faperj51;1;dez/22;Chioccoca alba;0.07;x
MPI;faperj51;1;dez/22;Smilax rufescens;0.06;
MPI;faperj51;1;dez/22;"""Cromada""";0.62;
MPI;faperj51;1;dez/22;Galhos;0.36;
MPI;faperj51;1;dez/22;Humiria balsamifera;0.07;
MPI;faperj51;1;dez/22;Miscelanea;0.5;
MPI;faperj51;1;dez/22;Ocotea notata;0.25;
MPI;faperj51;1;dez/22;Protium icicariba;0.29;
MPI;faperj51;1;dez/22;"""B esmaltada""";0.16;
MPI;faperj51;1;dez/22;Coccoloba arborescens;0.3;
MPI;faperj51;2;dez/22;Smilax rufescens;0.24;
MPI;faperj51;2;dez/22;Ocotea notata;0.5;
MPI;faperj51;2;dez/22;Coccoloba arborescens;0.43;
MPI;faperj51;2;dez/22;Protium icicariba;0.17;
MPI;faperj51;2;dez/22;Miscelanea;0.43;
MPI;faperj51;2;dez/22;Galhos;0.43;
MPI;faperj51;2;dez/22;"""Cromada""";0.35;
MPI;faperj51;2;dez/22;"""B esmaltada""";0.62;
MPI;faperj51;3;dez/22;Ocotea notata;0.16;
MPI;faperj51;3;dez/22;Miscelanea;0.52;
MPI;faperj51;3;dez/22;Galhos;0.34;
MPI;faperj51;3;dez/22;Clusia hilariana;0.19;
MPI;faperj51;3;dez/22;Estrutura reprodutiva;0.05;
MPI;faperj51;3;dez/22;Humiria balsamifera;0.09;
MPI;faperj51;3;dez/22;"""Cromada""";0.17;
MPI;faperj51;3;dez/22;"""B esmaltada""";0.7;
MPI;faperj53;1;dez/22;Coccoloba arborescens;1.71;x
MPI;faperj53;1;dez/22;"""Ovada Oposta""";0.17;
MPI;faperj53;1;dez/22;Calyptrantes brasiliensis;0.09;
MPI;faperj53;1;dez/22;"""Quase Clusia""";1.07;
MPI;faperj53;1;dez/22;"""Erythroxylum grande""";0.7;
MPI;faperj53;1;dez/22;Paulinea weinmanifolia;0.42;
MPI;faperj53;1;dez/22;Galhos;0.36;
MPI;faperj53;1;dez/22;Miscelanea;0.47;
MPI;faperj53;2;dez/22;Paulinea weinmanifolia;0.18;
MPI;faperj53;2;dez/22;"""Quase Clusia""";0.25;
MPI;faperj53;2;dez/22;Ocotea notata;0.07;
MPI;faperj53;2;dez/22;Coccoloba arborescens;2.92;
MPI;faperj53;2;dez/22;Miscelanea;0.47;
MPI;faperj53;2;dez/22;Galhos;0.1;
MPI;faperj53;3;dez/22;Ternostroemia brasiliensis;0.07;
MPI;faperj53;3;dez/22;Ocotea notata;0.41;
MPI;faperj53;3;dez/22;Estrutura reprodutiva;0.22;
MPI;faperj53;3;dez/22;Galhos;0.36;
MPI;faperj53;3;dez/22;"""Quase Clusia""";0.98;
MPI;faperj53;3;dez/22;Miscelanea;0.65;
MPI;faperj53;3;dez/22;Coccoloba arborescens;2.14;
MPI;faperj54;1;dez/22;Miscelanea ;0.81;x
MPI;faperj54;1;dez/22;Chioccoca alba;0.01;
MPI;faperj54;1;dez/22;Galhos;0.87;
MPI;faperj54;1;dez/22;Ocotea notata;0.1;
MPI;faperj54;1;dez/22;Paulinea weinmanifolia;0.1;
MPI;faperj54;1;dez/22;Achmea brasiliensis;1.77;
MPI;faperj54;1;dez/22;Anthurium maricense;1.8;
MPI;faperj54;1;dez/22;Maytenus obtusifolia;0.55;
MPI;faperj54;2;dez/22;Erythroxylum ovalifolium;0.01;
MPI;faperj54;2;dez/22;Smilax rufescens;0.19;
MPI;faperj54;2;dez/22;Calyptranthes brasiliensis;0.51;
MPI;faperj54;2;dez/22;Galhos;0.11;
MPI;faperj54;2;dez/22;Miscelanea ;0.08;
MPI;faperj54;3;dez/22;Clusia hilariana;3.29;
MPI;faperj54;3;dez/22;Ocotea notata;0.25;
MPI;faperj54;3;dez/22;"""Eugênia rígida""";0.6;
MPI;faperj54;3;dez/22;Galhos;0.32;
MPI;faperj54;3;dez/22;Miscelanea ;0.44;
FAAC;faperj55;1;dez/22;Ternostroemia brasiliensis;2.78;x
FAAC;faperj55;1;dez/22;Galhos;0.24;
FAAC;faperj55;1;dez/22;Miscelanea;0.34;
FAAC;faperj55;1;dez/22;Ocotea notata;0.2;
FAAC;faperj55;1;dez/22;Protium icicariba;0.47;
FAAC;faperj55;2;dez/22;Ocotea notata;0.06;
FAAC;faperj55;2;dez/22;Humiria balsamifera;0.22;
FAAC;faperj55;2;dez/22;Galhos;0.71;
FAAC;faperj55;2;dez/22;Miscelanea;0.42;
FAAC;faperj55;3;dez/22;Miscelanea;0.32;
FAAC;faperj55;3;dez/22;Galhos;0.44;
FAAC;faperj55;3;dez/22;Protium icicariba;0.56;
FAAC;faperj55;3;dez/22;Ocotea notata;0.72;
FAAC;faperj56;1;dez/22;Miscelânica;0.35;x
FAAC;faperj56;1;dez/22;Estrutura reprodutiva;1.14;
FAAC;faperj56;1;dez/22;Clusia hilariana;3.84;
FAAC;faperj56;1;dez/22;Ternostroemia brasiliensis;2;
FAAC;faperj56;2;dez/22;Galho;1;
FAAC;faperj56;2;dez/22;Miscelânia;0.78;
FAAC;faperj56;2;dez/22;Erytroxylum ovalifolium;0.07;
FAAC;faperj56;2;dez/22;"""Erytroxylum Grande""";0.31;
FAAC;faperj56;2;dez/22;Ternostroemia brasiliensis;2.8;
FAAC;faperj56;2;dez/22;"""Cromada""";0.05;
FAAC;faperj56;3;dez/22;Smilax rufescens;0.26;
FAAC;faperj56;3;dez/22;Ocotea notata;0.82;
FAAC;faperj56;3;dez/22;"""Cromada""";0.13;
FAAC;faperj56;3;dez/22;Calyptranthes brasiliensis;0.34;
FPP;fap68.2;1;dez/22;Paulinea weinmanifolia;0.21;x
FPP;fap68.2;1;dez/22;Miscelanea;0.18;
FPP;fap68.2;1;dez/22;Capparis flexuosa;0.15;
FPP;fap68.2;1;dez/22;Maytenus obtusifolia;1.13;
FPP;fap68.2;1;dez/22;"""Eugenia rigida""";1.41;
FPP;fap68.2;1;dez/22;Estrutura reprodutiva;0.23;
FPP;fap68.2;1;dez/22;Galhos;0.52;
FPP;fap68.2;2;dez/22;Galhos;1.19;
FPP;fap68.2;2;dez/22;"""Eugenia rigida""";1.19;
FPP;fap68.2;2;dez/22;Miscelanea;0.28;
FPP;fap68.2;2;dez/22;Coccoloba arborescens;0.17;
FPP;fap68.2;2;dez/22;Capparis flexuosa;2.4;
FPP;fap68.2;2;dez/22;Paulinea weinmanifolia;0.19;
FPP;fap68.2;3;dez/22;Paulinea weinmanifolia;0.07;
FPP;fap68.2;3;dez/22;"""Eugenia rigida""";4.03;
FPP;fap68.2;3;dez/22;Miscelanea;0.72;
FAAC;faperj70.2;1;dez/22;Ocotea notata;0.86;x
FAAC;faperj70.2;1;dez/22;Miscelanea;0.28;
FAAC;faperj70.2;1;dez/22;Galhos;1.05;
FAAC;faperj70.2;1;dez/22;Estrutura reprodutiva;1.17;
FAAC;faperj70.2;1;dez/22;Neomitranthes obscura;0.46;
FAAC;faperj70.2;2;dez/22;Galhos;0.42;
FAAC;faperj70.2;2;dez/22;Ocotea notata;0.09;
FAAC;faperj70.2;2;dez/22;Clusia hilariana;2.96;
FAAC;faperj70.2;2;dez/22;Miscelanea;0.28;
FAAC;faperj70.2;3;dez/22;Galhos;0.07;
FAAC;faperj70.2;3;dez/22;Miscelanea;0.48;
MPI;faperj72;1;dez/22;Chioccoca alba;0.71;x
MPI;faperj72;1;dez/22;"""Ovada oposta""";0.95;
MPI;faperj72;1;dez/22;Galhos;1.31;
MPI;faperj72;1;dez/22;Humiria balsamifera;0.58;
MPI;faperj72;1;dez/22;Clusia hilariana;1.2;
MPI;faperj72;1;dez/22;"""Cromada""";5.54;
MPI;faperj72;2;dez/22;Miscelanea;0.51;
MPI;faperj72;2;dez/22;Estrutura reprodutiva;1.42;
MPI;faperj72;2;dez/22;"""Cromada""";1.39;
MPI;faperj72;2;dez/22;Humiria balsamifera;0.1;
MPI;faperj72;2;dez/22;Galhos;0.74;
MPI;faperj72;2;dez/22;Chioccoca alba;0.36;
MPI;faperj72;2;dez/22;Clusia hilariana;2.45;
MPI;faperj72;2;dez/22;Miscelanea;1;
MPI;faperj72;2;dez/22;Ocotea notata;0.28;
MPI;faperj72;3;dez/22;"""Ovada oposta""";0.33;
MPI;faperj72;3;dez/22;Estrutura reprodutiva;0.49;
MPI;faperj72;3;dez/22;Humiria balsamifera;0.47;
MPI;faperj72;3;dez/22;"""Cromada""";2.2;
MPI;faperj72;3;dez/22;Galhos;30.44;
MPI;faperj72;3;dez/22;Chioccoca alba;0.36;
MPI;faperj72;3;dez/22;Protium icicariba;0.17;
FAAC;fap73.2;1;dez/22;Ocotea notata;0.07;x
FAAC;fap73.2;1;dez/22;Capparis flexuosa;1.07;
FAAC;fap73.2;1;dez/22;Clusia hilariana;2.49;
FAAC;fap73.2;1;dez/22;Miscelanea;0.15;
FAAC;fap73.2;2;dez/22;Galhos;4.29;
FAAC;fap73.2;2;dez/22;Capparis flexuosa;0.34;
FAAC;fap73.2;2;dez/22;Miscelanea;0.58;
FAAC;fap73.2;2;dez/22;Clusia hilariana;1.78;
FAAC;fap73.2;2;dez/22;Smilax rufescens;0.15;
FAAC;fap73.2;2;dez/22;Estrutura reprodutiva;1.39;
FAAC;fap73.2;3;dez/22;Ocotea notata;4.49;
FAAC;fap73.2;3;dez/22;Miscelanea;0.48;
FAAC;fap73.2;3;dez/22;Galhos;0.1;
FAAC;fap74;1;dez/22;Protium icicariba;0.43;x
FAAC;fap74;1;dez/22;Calyptrantes brasiliensis;1;
FAAC;fap74;1;dez/22;Miscelanea;0.17;
FAAC;fap74;1;dez/22;Galhos;0.35;
FAAC;fap74;2;dez/22;Ocotea notata;0.14;
FAAC;fap74;2;dez/22;Paulinea weinmanifolia;1.36;
FAAC;fap74;2;dez/22;Galhos;0.15;
FAAC;fap74;2;dez/22;Estrutura reprodutiva;0.25;
FAAC;fap74;3;dez/22;Smilax rufescens;0.07;
FAAC;fap74;3;dez/22;Estrutura reprodutiva;0.3;
FAAC;fap74;3;dez/22;Clusia hilariana;12.1;
FAAC;fap74;3;dez/22;Myrtacea sp1;0.17;
FAAC;fap74;3;dez/22;Miscelanea;0.14;
FAAC;fap74;3;dez/22;Galhos;0.89;
FAAE;fap77;1;dez/22;Ternostroemia brasiliensis;0.31;x
FAAE;fap77;1;dez/22;Ocotea notata;0.01;
FAAE;fap77;1;dez/22;Humiria balsamifera;0.66;
FAAE;fap77;1;dez/22;Estrutura reprodutiva;0.33;
FAAE;fap77;1;dez/22;Galhos;0.24;
FAAE;fap77;2;dez/22;Calyptranthes brasiliensis;0.01;
FAAE;fap77;2;dez/22;Coccoloba arborescens;0.92;
FAAE;fap77;2;dez/22;Miscelanea ;0.09;
FAAE;fap77;3;dez/22;Calyptranthes brasiliensis;0.23;
FAAE;fap77;3;dez/22;Humiria balsamifera;0.28;
FAAE;fap77;3;dez/22;Smilax rufescens;0.24;
FAAE;fap77;3;dez/22;Ternostroemia brasiliensis;0.16;
FAAE;fap77;3;dez/22;Galhos;0.21;
FAAE;fap77;3;dez/22;Miscelanea ;0.49;
FPP;fap78;1;dez/22;Calyptrantes brasiliensis;2.73;x
FPP;fap78;1;dez/22;Smilax rufescens;0.09;
FPP;fap78;1;dez/22;"""Eugenia rigida""";0.36;
FPP;fap78;1;dez/22;Miscelanea;0.65;
FPP;fap78;1;dez/22;Galhos;0.57;
FPP;fap78;1;dez/22;Estrutura reprodutiva;0.01;
FPP;fap78;2;dez/22;"""Eugenia rigida""";8.47;
FPP;fap78;2;dez/22;Galhos;0.37;
FPP;fap78;3;dez/22;Capparis flexuosa;0.22;
FPP;fap78;3;dez/22;"""Eugenia rigida""";3.54;
FPP;fap78;3;dez/22;Maytenus obtusifolia;0.01;
FPP;fap78;3;dez/22;Galhos;0.67;
FPP;fap78;3;dez/22;Miscelanea;1.24;
FPP;fap78;3;dez/22;Estrutura reprodutiva;0.46;
FAAE;fap79;1;dez/22;Protium icicariba;0.75;x
FAAE;fap79;1;dez/22;Smilax rufescens;0.09;
FAAE;fap79;1;dez/22;Coccoloba arborescens;0.37;
FAAE;fap79;1;dez/22;Galhos;0.52;
FAAE;fap79;1;dez/22;Miscelanea;0.7;
FAAE;fap79;1;dez/22;Estrutura reprodutiva;1.35;
FAAE;fap79;2;dez/22;Humiria balsamifera;1;
FAAE;fap79;2;dez/22;Miscelanea;0.54;
FAAE;fap79;2;dez/22;Galhos;0.36;
FAAE;fap79;3;dez/22;Humiria balsamifera;0.36;
FAAE;fap79;3;dez/22;Clusia hilariana;2.6;
FAAE;fap79;3;dez/22;"""Erythroxylum grande""";0.41;
FAAE;fap79;3;dez/22;Byrsonima sericea;0.16;
FAAE;fap79;3;dez/22;Ternostroemia brasiliensis;0.2;
FAAE;fap79;3;dez/22;Estrutura reprodutiva;1.59;
FAAE;fap79;3;dez/22;Miscelanea;0.26;
FPP;faperj80;1;dez/22;Galhos;0.15;x
FPP;faperj80;1;dez/22;Estrutura reprodutiva;0.43;
FPP;faperj80;1;dez/22;Protium icicariba;0.01;
FPP;faperj80;1;dez/22;Paulinea weinmanifolia;0.42;
FPP;faperj80;1;dez/22;Clusia hilariana;1.52;
FPP;faperj80;1;dez/22;Maytenus obtusifolia;1.54;
FPP;faperj80;2;dez/22;Estrutura reprodutiva;2.33;
FPP;faperj80;2;dez/22;Paulinea weinmanifolia;0.09;
FPP;faperj80;2;dez/22;Byrsonima sericea;0.01;
FPP;faperj80;2;dez/22;Erythroxylum ovalifolium;0.28;
FPP;faperj80;2;dez/22;"""Erythroxylum grande""";0.63;
FPP;faperj80;2;dez/22;"""Eugênia rígida""";0.16;
FPP;faperj80;2;dez/22;Galhos ;0.6;
FPP;faperj80;2;dez/22;Capparis flexuosa;0.11;
FPP;faperj80;2;dez/22;Protium icicariba;1.24;
FPP;faperj80;2;dez/22;Achmea brasiliensis;4.71;
FPP;faperj80;3;dez/22;Miscelanea ;1.72;
FPP;faperj80;3;dez/22;Maytenus obtusifolia;3.67;
FPP;faperj80;3;dez/22;"""Erythroxylum grande""";2.33;
FPP;fap85;1;dez/22;"""Eugenia rigida""";2.38;x
FPP;fap85;1;dez/22;Estrutura reprodutiva;0.42;
FPP;fap85;1;dez/22;Galhos;0.27;
FPP;fap85;1;dez/22;Paulinea weinmanifolia;0.36;
FPP;fap85;2;dez/22;Erythroxylum ovalifolium;0.22;
FPP;fap85;3;dez/22;Clusia hilariana;5.82;
FPP;fap85;3;dez/22;Neomitrantes obscura;0.05;
FPP;fap85;3;dez/22;Galhos;1.1;
FPP;fap85;1;dez/22;Miscelanea ;0.14;
MPI;fap90;1;dez/22;Ocotea notata;0.42;x
MPI;fap90;1;dez/22;Coccoloba arborescens;1.71;
MPI;fap90;1;dez/22;Tocoyena bullata;0.17;
MPI;fap90;2;dez/22;Paulinea weinmanifolia;0.11;
MPI;fap90;2;dez/22;Galhos;1.11;
MPI;fap90;2;dez/22;Ormosia arborea;0.1;
MPI;fap90;2;dez/22;Miscelânia;0.46;
MPI;fap90;2;dez/22;"""Ovada oposta""";2.28;
MPI;fap90;2;dez/22;Ormosia arborea;12.07;
MPI;fap90;3;dez/22;Galhos;2.89;
MPI;fap90;3;dez/22;Miscelânia;0.22;
MPI;fap90;3;dez/22;Ocotea notata;0.23;
MPI;fap90;3;dez/22;Coccoloba arborescens;0.35;
MPI;fap90;3;dez/22;Calyptranthes brasiliensis;0.43;
MPI;fap91;1;dez/22;Tocoyena bullata;0.03;x
MPI;fap91;1;dez/22;"""Quase Clusia""";0.42;
MPI;fap91;1;dez/22;Neomitrantes obscura;0.04;
MPI;fap91;1;dez/22;Ocotea notata;0.54;
MPI;fap91;1;dez/22;Galhos;0.64;
MPI;fap91;1;dez/22;Miscelanea;0.54;
MPI;fap91;2;dez/22;Ocotea notata;0.13;
MPI;fap91;2;dez/22;"""Eugenia rigida""";0.26;
MPI;fap91;2;dez/22;Coccoloba arborescens;0.3;
MPI;fap91;2;dez/22;Galhos;1.88;
MPI;fap91;3;dez/22;"""Quase Clusia""";0.25;
MPI;fap91;3;dez/22;Clusia hilariana;1.05;
MPI;fap91;3;dez/22;Miscelanea;0.54;
MPI;fap91;3;dez/22;Ocotea notata;0.11;
MPI;fap91;3;dez/22;Estrutura reprodutiva;0.68;
MPI;fap91;3;dez/22;Galhos;0.82;
FAAC;fap92;1;dez/22;Chiococca alba;0.25;x
FAAC;fap92;1;dez/22;Ternstroemia brasiliensis;0.62;
FAAC;fap92;1;dez/22;Estrutura reprodutiva;0.9;
FAAC;fap92;1;dez/22;Miscelânia;0.57;
FAAC;fap92;1;dez/22;Clusia Hilariana;2.43;
FAAC;fap92;1;dez/22;Calyptranthes brasiliensis;0.13;
FAAC;fap92;2;dez/22;Miscelânia;0.64;
FAAC;fap92;2;dez/22;Calyptranthes brasiliensis;0.56;
FAAC;fap92;2;dez/22;ternstroemia brasiliensis;7.86;
FAAC;fap92;2;dez/22;Estrutura reprodutiva;0.16;
FAAC;fap92;2;dez/22;Eugenia rígida;0.32;
FAAC;fap92;3;dez/22;Chiococca alba;0.47;
FAAC;fap92;3;dez/22;Clusia Hilariana;3.04;
FAAC;fap92;3;dez/22;Ternstroemia brasiliensis;0.23;
FAAC;fap92;3;dez/22;Calyptranthes brasiliensis;0.35;
FAAC;fap92;3;dez/22;Capparis Flexuosa;0.23;
FAAC;fap92;3;dez/22;Estrutura reprodutiva;0.09;
FAAE;faperj101;1;dez/22;Ocotea notata;0.26;x
FAAE;faperj101;1;dez/22;Humiria balsamifera;1.31;
FAAE;faperj101;1;dez/22;Ternostroemia brasiliensis;0.32;
FAAE;faperj101;1;dez/22;Coccoloba arborescens;0.13;
FAAE;faperj101;1;dez/22;Galhos;2.26;
FAAE;faperj101;2;dez/22;Protium icicariba;0.77;
FAAE;faperj101;2;dez/22;Galhos;0.25;
FAAE;faperj101;2;dez/22;Smilax rufescens;0.12;
FAAE;faperj101;2;dez/22;Paulinea weinmanifolia;0.05;
FAAE;faperj101;2;dez/22;Humiria balsamifera;0.35;
FAAE;faperj101;2;dez/22;Miscelanea;0.36;
FAAE;faperj101;2;dez/22;Ocotea notata;0.27;
FAAE;faperj101;3;dez/22;Smilax rufescens;0.05;
FAAE;faperj101;3;dez/22;Miscelanea ;0.18;
FAAE;faperj101;3;dez/22;Galhos;0.24;
FAAE;faperj101;3;dez/22;Ocotea notata;0.09;
FAAE;faperj101;3;dez/22;Coccoloba arborescens;0.13;
FAAE;faperj101;3;dez/22;Ternostroemia brasiliensis;0.12;
FAAE;faperj101;3;dez/22;Humiria balsamifera;1.05;
FAAC;faperj102;1;dez/22;Miscelanea ;0.17;x
FAAC;faperj102;1;dez/22;Galhos;0.15;
FAAC;faperj102;1;dez/22;Ocotea notata;0.64;
FAAC;faperj102;1;dez/22;"""Erythroxylum grande""";0.19;
FAAC;faperj102;1;dez/22;Clusia hilariana;1.78;
FAAC;faperj102;1;dez/22;Ternostroemia brasiliensis;0.79;
FAAC;faperj102;2;dez/22;Miscelanea ;0.61;
FAAC;faperj102;2;dez/22;Clusia hilariana;0.17;
FAAC;faperj102;2;dez/22;Ternostroemia brasiliensis;1.02;
FAAC;faperj102;2;dez/22;Ocotea notata;0.23;
FAAC;faperj102;2;dez/22;Maytenus obtusifolia;0.35;
FAAC;faperj102;2;dez/22;Galhos;0.6;
FAAC;faperj102;3;dez/22;Galhos;0.37;
FAAC;faperj102;3;dez/22;Anthurium maricense;2.12;
FAAC;faperj102;3;dez/22;Miscelanea ;0.37;
FAAC;faperj102;3;dez/22;Ocotea notata;0.01;
FAAC;faperj102;3;dez/22;Estrutura reprodutiva;0.01;
FAAC;faperj102;3;dez/22;Ternostroemia brasiliensis;2.03;
FAAC;faperj103;1;dez/22;Galhos;0.91;x
FAAC;faperj103;1;dez/22;"""Eugênia rígida""";0.53;
FAAC;faperj103;1;dez/22;Smilax rufescens;0.25;
FAAC;faperj103;1;dez/22;Calyptranthes brasiliensis;0.72;
FAAC;faperj103;1;dez/22;Clusia hilariana;1.48;
FAAC;faperj103;1;dez/22;Ocotea notata;1.63;
FAAC;faperj103;1;dez/22;Miscelanea ;0.75;
FAAC;faperj103;2;dez/22;Clusia hilariana;2.19;
FAAC;faperj103;2;dez/22;Ocotea notata;1.4;
FAAC;faperj103;2;dez/22;"""Eugênia rígida""";0.87;
FAAC;faperj103;2;dez/22;Estrutura reprodutiva;1.38;
FAAC;faperj103;2;dez/22;Galhos;1.21;
FAAC;faperj103;2;dez/22;Miscelanea ;0.21;
FAAC;faperj103;3;dez/22;Ocotea notata;0.17;
FAAC;faperj103;3;dez/22;"""Eugênia rígida""";0.48;
FAAC;faperj103;3;dez/22;Clusia hilariana;1.6;
FAAC;faperj103;3;dez/22;Calyptranthes brasiliensis;0.23;
FAAC;faperj103;3;dez/22;Miscelanea ;0.29;
;,,,,,60;;;;;
